login;password;name_table
albert;123;albert_table.csv
albert;123;albert_table.csv
albert;09876;data_storage/user_tables/albert_table.csv
wdawd;sdaasdws;data_storage/user_tables/wdawd_table.csv
Vanya;55555;data_storage/user_tables/Vanya_table.csv
pasha;isisdiaiwdi;data_storage/user_tables/pasha_table.csv
Jake;188283;data_storage/user_tables/Jake_table.csv
;;data_storage/user_tables/_table.csv
wdawd;cvxcvbdsfb;data_storage/user_tables/wdawd_table.csv
awdawd;dxcvbfdgndgyfh;data_storage/user_tables/awdawd_table.csv
albert;12345;data_storage/user_tables/albert_table.csv
ôöâôöâöâ;ôöâôâööôâ\;data_storage/user_tables/ôöâôöâöâ_table.csv
fniefsf;fdvsdfvfdv;data_storage/user_tables/fniefsf_table.csv
albert;12345;data_storage/user_tables/albert_table.csv
albert;12345;data_storage/user_tables/albert_table.csv
